Legacy_OrganizationName,Legacy_OrganizationID,Legacy_ProgramName,Legacy_ProgramID,Clarity_AgencyID,Clarity_AgencyName,Clarity_ProgramID,Clarity_ProgramName
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - TANF HP,2296,50,Kno-Ho-Co-Ashland Community Action Commission,912,Knox - Knohoco Ashland CAC - TANF HP
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - ESG-CV RRH,2299,50,Kno-Ho-Co-Ashland Community Action Commission,915,Knox - Knohoco Ashland CAC - ESG-CV RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - KnoHoCo Ashland CAC - ES,261,50,Kno-Ho-Co-Ashland Community Action Commission,83,Coshocton - KnoHoCo Ashland CAC - ES
Kno-Ho-Co-Ashland Community Action Commission,206,Holmes - Knohoco Ashland CAC - HCRP RRH,995,50,Kno-Ho-Co-Ashland Community Action Commission,281,Holmes - Knohoco Ashland CAC - HCRP RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Holmes - Knohoco Ashland CAC - HCRP HP,996,50,Kno-Ho-Co-Ashland Community Action Commission,282,Holmes - Knohoco Ashland CAC - HCRP HP
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - Knohoco Ashland CAC - HCRP RRH,997,50,Kno-Ho-Co-Ashland Community Action Commission,283,Coshocton - Knohoco Ashland CAC - HCRP RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - Knohoco Ashland CAC - HCRP HP,998,50,Kno-Ho-Co-Ashland Community Action Commission,284,Coshocton - Knohoco Ashland CAC - HCRP HP
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - HCRP HP,999,50,Kno-Ho-Co-Ashland Community Action Commission,285,Knox - Knohoco Ashland CAC - HCRP HP
"Adams County Shelter for the Homeless, Inc.",210,Adams - Adams County Shelter for the Homeless - HCRP - RRH,1785,51,"Adams County Shelter for the Homeless, Inc.",531,Adams - Adams County Shelter for the Homeless - HCRP - RRH
"Adams County Shelter for the Homeless, Inc.",210,Adams - Adams County Shelter for the Homeless - Targeted RRH,2078,51,"Adams County Shelter for the Homeless, Inc.",723,Adams - Adams County Shelter for the Homeless - Targeted RRH
"Adams County Shelter for the Homeless, Inc.",210,Adams - Adams County Shelter for the Homeless - ES,222,51,"Adams County Shelter for the Homeless, Inc.",69,Adams - Adams County Shelter for the Homeless - ES
Compass Family & Community Services,2104,Mahoning - Compass Family & Community Services - Daybreak - RHY-BCPes,2342,253,Compass Family & Community Services,931,Mahoning - Compass Family & Community Services - Daybreak - RHY-BCPes
Mahoning Valley Dispute Resolution Services,2105,Mahoning Valley Dispute Resolution Services - ESG - HP,2383,254,Mahoning Valley Dispute Resolution Services,962,Mahoning Valley Dispute Resolution Services - ESG - HP
Meridian HealthCare,2106,zzMahoning - Meridian Services - Passages - TH,2318,255,Meridian HealthCare,927,zzMahoning - Meridian Services - Passages - TH
Meridian HealthCare,2106,Mahoning - Meridian Services - Samaritan Housing PRA - PSH,2345,255,Meridian HealthCare,933,Mahoning - Meridian Services - Samaritan Housing PRA - PSH
Meridian HealthCare,2106,zzMahoning - Meridian Services - Project Safe - TH,2349,255,Meridian HealthCare,935,zzMahoning - Meridian Services - Project Safe - TH
Meridian HealthCare,2106,Mahoning - Meridian Services - Homeless Solutions SRO II - PSH,2355,255,Meridian HealthCare,939,Mahoning - Meridian Services - Homeless Solutions SRO II - PSH
Meridian HealthCare,2106,Mahoning - Meridian Services - Meridian Women's Center South - PSH,2356,255,Meridian HealthCare,940,zzMahoning - Meridian Services - Meridian Women's Center South - PSH
Meridian HealthCare,2106,Mahoning - Meridian Services - Homestead House - PSH,2366,255,Meridian HealthCare,947,Mahoning - Meridian Services - Homestead House - PSH
Meridian HealthCare,2106,zzMahoning - Meridian Services - Homeless Solutions SRO - PSH,2368,255,Meridian HealthCare,949,zzMahoning - Meridian Services - Homeless Solutions SRO - PSH
Meridian HealthCare,2106,zzMahoning - Meridian Services - William G. Bodnar Transitional Home - TH,2369,255,Meridian HealthCare,950,zzMahoning - Meridian Services - William G. Bodnar Transitional Home - TH
Meridian HealthCare,2106,Mahoning - Meridian Services - Phoenix Court - PSH,2377,255,Meridian HealthCare,956,Mahoning - Meridian Services - Phoenix Court - PSH
Meridian HealthCare,2106,Mahoning - Meridian Services - Marian Commons - PSH,2379,255,Meridian HealthCare,958,Mahoning - Meridian Services - Marian Commons - PSH
Ursuline Center,2107,Mahoning - Ursuline Center - Merici Shelter - ES,2357,256,Ursuline Center,941,Mahoning - Ursuline Center - Merici Shelter - ES
Ursuline Center,2107,Mahoning - Ursuline Center - Merici Living - PSH,2363,256,Ursuline Center,945,Mahoning - Ursuline Center - Merici Living - PSH
Ursuline Center,2107,Mahoning - Ursuline Center - Merici - PSH,2370,256,Ursuline Center,951,Mahoning - Ursuline Center - Merici - PSH
"Young Women's Christian Association of Youngstown, Ohio",2108,zzMahoning - YWCA Project Independence,2338,257,"Young Women's Christian Association of Youngstown, Ohio",929,zzMahoning - YWCA Project Independence
"Young Women's Christian Association of Youngstown, Ohio",2108,Mahoning - YWCA Permanent Housing for Disabled Families - PSH,2360,257,"Young Women's Christian Association of Youngstown, Ohio",943,Mahoning - YWCA Permanent Housing for Disabled Families - PSH
"Young Women's Christian Association of Youngstown, Ohio",2108,zzMahoning - YWCA Scattered Site Housing III,2367,257,"Young Women's Christian Association of Youngstown, Ohio",948,zzMahoning - YWCA Scattered Site Housing III
"Young Women's Christian Association of Youngstown, Ohio",2108,Mahoning - YWCA Scattered Site Housing II - PSH,2371,257,"Young Women's Christian Association of Youngstown, Ohio",952,Mahoning - YWCA Scattered Site Housing II - PSH
"Young Women's Christian Association of Youngstown, Ohio",2108,Mahoning - YWCA Barbara Wick Transitional Home - TH,2381,257,"Young Women's Christian Association of Youngstown, Ohio",960,Mahoning - YWCA Barbara Wick Transitional Home - TH
Help Network of Northeast Ohio,2109,Mahoning - Help Network - Shelter Plus Care - PSH,2340,258,Help Network of Northeast Ohio,930,Mahoning - Help Network - Shelter Plus Care - PSH
Help Network of Northeast Ohio,2109,Mahoning - Help Network - PATH - Services Only,2354,258,Help Network of Northeast Ohio,938,Mahoning - Help Network - PATH - Services Only
Help Network of Northeast Ohio,2109,Mahoning - Help Network - PATH - Street Outreach,2359,258,Help Network of Northeast Ohio,942,Mahoning - Help Network - PATH - Street Outreach
Greater Youngstown-Warren Urban League,211,Trumbull - Urban League - Amos Christy House - ES,252,52,Greater Youngstown-Warren Urban League,79,Trumbull - Urban League - Amos Christy House - ES
"Caring Kitchen, Inc.",212,Champaign - Caring Kitchen - ES Overflow,2145,53,"Caring Kitchen, Inc.",764,Champaign - Caring Kitchen - ES Overflow
"Caring Kitchen, Inc.",212,Champaign - Caring Kitchen - ES,217,53,"Caring Kitchen, Inc.",67,Champaign - Caring Kitchen - ES
"Abuse and Rape Crisis Shelter of Warren County, Inc.",213,Warren - Abuse and Rape Crisis Shelter - ES - DV,216,54,"Abuse and Rape Crisis Shelter of Warren County, Inc.",66,Warren - Abuse and Rape Crisis Shelter - ES - DV
Interfaith Hospitality Network of Warren County,215,Warren - IHN of Warren County - ES Overflow,1789,55,Interfaith Hospitality Network of Warren County,534,Warren - IHN of Warren County - ES Overflow
Interfaith Hospitality Network of Warren County,215,Warren - Warren IHN - Youth Targeted RRH,1923,55,Interfaith Hospitality Network of Warren County,603,Warren - Warren IHN - Youth Targeted RRH
Interfaith Hospitality Network of Warren County,215,Warren - IHN of Warren County - AP,1990,55,Interfaith Hospitality Network of Warren County,662,Warren - IHN of Warren County - AP
Interfaith Hospitality Network of Warren County,215,Warren - Warren IHN - HCRP HP,2137,55,Interfaith Hospitality Network of Warren County,756,Warren - Warren IHN - HCRP HP
Interfaith Hospitality Network of Warren County,215,Warren - IHN of Warren County - ES,224,55,Interfaith Hospitality Network of Warren County,70,Warren - IHN of Warren County - ES
Interfaith Hospitality Network of Warren County,215,Warren - Warren IHN - HCRP RRH,931,55,Interfaith Hospitality Network of Warren County,227,Warren - Warren IHN - HCRP RRH
"Good Works, Inc.",218,Athens - Good Works - Timothy House  - ES,234,56,"Good Works, Inc.",74,Athens - Good Works - Timothy House  - ES
Salvation Army of Wooster,219,Wayne - Salvation Army Wooster - Salvation Army Shelter - ES,226,57,Salvation Army of Wooster,71,Wayne - Salvation Army Wooster - Salvation Army Shelter - ES
"Ashtabula Homeless Shelter, Inc.",220,Ashtabula - Ashtabula Homeless Shelter - Samaritan House - ES,249,58,"Ashtabula Homeless Shelter, Inc.",77,Ashtabula - Ashtabula Homeless Shelter - Samaritan House - ES
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - Pearl - PSH,1349,59,Community Action Program Commission of the Lancaster Fairfield County Area,418,Fairfield - Lancaster Fairfield CAA - Pearl - PSH
Community Action Program Commission of the Lancaster Fairfield County Area,223,zzFairfield - Lancaster Fairfield CAA - Rutherford Bridge - PSH,1350,59,Community Action Program Commission of the Lancaster Fairfield County Area,419,zzFairfield - Lancaster Fairfield CAA - Rutherford Bridge - PSH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - Rutherford - PSH,1351,59,Community Action Program Commission of the Lancaster Fairfield County Area,420,Fairfield - Lancaster Fairfield CAA - Rutherford - PSH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - Pearl - Not Homeless Dedicated,1847,59,Community Action Program Commission of the Lancaster Fairfield County Area,546,Fairfield - Lancaster Fairfield CAA - Pearl - Not Homeless Dedicated
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - Targeted RRH,2086,59,Community Action Program Commission of the Lancaster Fairfield County Area,731,Fairfield - Lancaster Fairfield CAA - Targeted RRH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - TANF HP,2409,59,Community Action Program Commission of the Lancaster Fairfield County Area,971,Fairfield - Lancaster Fairfield CAA - TANF HP
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - TANF RRH,2410,59,Community Action Program Commission of the Lancaster Fairfield County Area,972,Fairfield - Lancaster Fairfield CAA - TANF RRH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - Lancaster Fairfield CAA Family Shelter - ES,260,59,Community Action Program Commission of the Lancaster Fairfield County Area,82,Fairfield - Lancaster Fairfield CAA - Lancaster Fairfield CAA Family Shelter - ES
Community Action Program Commission of the Lancaster Fairfield County Area,223,zzFairfield - CAP Commission of the Lancaster Fairfield Area - Shelter Plus Care for Families - PSH,754,59,Community Action Program Commission of the Lancaster Fairfield County Area,161,zzFairfield - CAP Commission of the Lancaster Fairfield Area - Shelter Plus Care for Families - PSH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - HCRP RRH,893,59,Community Action Program Commission of the Lancaster Fairfield County Area,201,Fairfield - Lancaster Fairfield CAA - HCRP RRH
Community Action Program Commission of the Lancaster Fairfield County Area,223,Fairfield - Lancaster Fairfield CAA - HCRP HP,894,59,Community Action Program Commission of the Lancaster Fairfield County Area,202,Fairfield - Lancaster Fairfield CAA - HCRP HP
Neighborhood Alliance,225,Lorain - Neighborhood Alliance - PATH Street Outreach,1371,60,Neighborhood Alliance,434,Lorain - Neighborhood Alliance - PATH Street Outreach
Neighborhood Alliance,225,Lorain - Neighborhood Alliance - PATH Services Only,1372,60,Neighborhood Alliance,435,Lorain - Neighborhood Alliance - PATH Services Only
Neighborhood Alliance,225,Lorain - Neighborhood Alliance - Lorain County Warming Center - ES,2431,60,Neighborhood Alliance,990,Lorain - Neighborhood Alliance - Lorain County Warming Center - ES
Neighborhood Alliance,225,Lorain - Neighborhood Alliance - Lorain County Warming Center 2 - ES,2441,60,Neighborhood Alliance,997,Lorain - Neighborhood Alliance - Lorain County Warming Center 2 - ES
Neighborhood Alliance,225,Lorain - Neighborhood Alliance - Haven Center - ES,256,60,Neighborhood Alliance,80,Lorain - Neighborhood Alliance - Haven Center - ES
"Pike County Outreach Council of Churches, Inc.",227,Pike - Pike County Outreach Council of Churches - Bridgehaven Shelter - AP,2125,61,"Pike County Outreach Council of Churches, Inc.",745,Pike - Pike County Outreach Council of Churches - Bridgehaven Shelter - AP
"Pike County Outreach Council of Churches, Inc.",227,Pike - Pike County Outreach Council of Churches - Bridgehaven Shelter - ES,240,61,"Pike County Outreach Council of Churches, Inc.",75,Pike - Pike County Outreach Council of Churches - Bridgehaven Shelter - ES
Van Wert Haven of Hope,2274,Van Wert - Haven of Hope - ES,2275,259,Van Wert Haven of Hope,891,Van Wert - Haven of Hope - ES
"CAC of Erie, Huron & Richland Counties, Inc.",228,"Huron - CAC of Erie, Huron & Richland Counties - Norwalk Homeless Shelter - ES",233,62,"CAC of Erie, Huron & Richland Counties, Inc.",73,"Huron - CAC of Erie, Huron & Richland Counties - Norwalk Homeless Shelter - ES"
"Hope House Rescue Mission, Inc.",229,Butler - Hope House Rescue Mission - Hope House - HCRP HP,1660,63,"Hope House Rescue Mission, Inc.",472,Butler - Hope House Rescue Mission - Hope House - HCRP HP
"Hope House Rescue Mission, Inc.",229,zzButler - Hope House Rescue Mission - Hope House - HCRP RRH,1665,63,"Hope House Rescue Mission, Inc.",475,zzButler - Hope House Rescue Mission - Hope House - HCRP RRH
"Hope House Rescue Mission, Inc.",229,zzButler - Hope House Rescue Mission - Center of Hope - HCRP RRH,1666,63,"Hope House Rescue Mission, Inc.",476,zzButler - Hope House Rescue Mission - Center of Hope - HCRP RRH
"Hope House Rescue Mission, Inc.",229,Butler - Hope House Rescue Mission - Hope House - ES,232,63,"Hope House Rescue Mission, Inc.",72,Butler - Hope House Rescue Mission - Hope House - ES
"Hope House Rescue Mission, Inc.",229,Butler - Hope House Rescue Mission - Center of Hope - ES,720,63,"Hope House Rescue Mission, Inc.",141,Butler - Hope House Rescue Mission - Center of Hope - ES
Serve City Inc.,230,"zzButler - Serve City, Inc. - HCRP RRH",1667,64,Serve City Inc.,477,"zzButler - Serve City, Inc. - HCRP RRH"
Serve City Inc.,230,Butler - Serve City - Winter Shelter - ES,2412,64,Serve City Inc.,974,Butler - Serve City - Winter Shelter - ES
Serve City Inc.,230,Butler - Serve City - Chosen - ES,268,64,Serve City Inc.,84,Butler - Serve City - Chosen - ES
Highland County Homeless Shelter,238,Highland - Highland County Homeless Shelter - ES,241,65,Highland County Homeless Shelter,76,Highland - Highland County Homeless Shelter - ES
"Nord Center, Inc.",239,zzLorain - United Way of Lorain County - UCAN - HP,1333,66,"Nord Center, Inc.",410,zzLorain - United Way of Lorain County - UCAN - HP
"Nord Center, Inc.",239,zzLorain - Nord Center - Targeted RRH,1891,66,"Nord Center, Inc.",586,zzLorain - Nord Center - Targeted RRH
"Nord Center, Inc.",239,Lorain - Nord Center - TANF HP,2171,66,"Nord Center, Inc.",790,Lorain - Nord Center - TANF HP
"Nord Center, Inc.",239,Lorain - Nord Center - TANF RRH,2172,66,"Nord Center, Inc.",791,Lorain - Nord Center - TANF RRH
"Nord Center, Inc.",239,Lorain - Nord Center - OHFA ERA - not homeless dedicated,2173,66,"Nord Center, Inc.",792,Lorain - Nord Center - OHFA ERA - not homeless dedicated
"Nord Center, Inc.",239,Lorain - Nord Center - ESG-CV RRH,2207,66,"Nord Center, Inc.",825,Lorain - Nord Center - ESG-CV RRH
"Nord Center, Inc.",239,Lorain - Nord Center - ESG-CV HP,2208,66,"Nord Center, Inc.",826,Lorain - Nord Center - ESG-CV HP
"Nord Center, Inc.",239,Lorain - Nord Center - HCRP RRH,869,66,"Nord Center, Inc.",184,Lorain - Nord Center - HCRP RRH
"Nord Center, Inc.",239,Lorain - Nord Center - HCRP HP,958,66,"Nord Center, Inc.",248,Lorain - Nord Center - HCRP HP
"Clermont County Community Services, Inc.",289,Clermont - Clermont County Community Services - ES Overflow,2202,67,"Clermont County Community Services, Inc.",820,Clermont - Clermont County Community Services - ES Overflow
"Clermont County Community Services, Inc.",289,Clermont - Clermont County Community Services - James Saul's - ES,293,67,"Clermont County Community Services, Inc.",86,Clermont - Clermont County Community Services - James Saul's - ES
"Clermont County Community Services, Inc.",289,Clermont - Clermont County Community Services - HCRP RRH,925,67,"Clermont County Community Services, Inc.",223,Clermont - Clermont County Community Services - HCRP RRH
"Clermont County Community Services, Inc.",289,Clermont - Clermont County Community Services - HCRP HP,926,67,"Clermont County Community Services, Inc.",225,Clermont - Clermont County Community Services - HCRP HP
"Community Housing of Darke, Miami and Shelby Counties, Inc.",290,"Shelby - Community Housing of Darke, Miami and Shelby Counties, Inc. - Hotel Voucher ES",1576,68,"Community Housing of Darke, Miami and Shelby Counties, Inc.",457,"Shelby - Community Housing of Darke, Miami and Shelby Counties, Inc. - Hotel Voucher ES"
"Community Housing of Darke, Miami and Shelby Counties, Inc.",290,"Darke - Community Housing of Darke, Miami, and Shelby Counties, Inc. - ES Overflow",1803,68,"Community Housing of Darke, Miami and Shelby Counties, Inc.",538,"Darke - Community Housing of Darke, Miami, and Shelby Counties, Inc. - ES Overflow"
"Community Housing of Darke, Miami and Shelby Counties, Inc.",290,"zzMiami - Community Housing of Darke, Miami and Shelby Co - Transitional Housing - TH",299,68,"Community Housing of Darke, Miami and Shelby Counties, Inc.",87,"zzMiami - Community Housing of Darke, Miami and Shelby Co - Transitional Housing - TH"
"The Urban Mission Ministries, Inc.",296,Jefferson - Urban Mission Dormitory - ES,1305,69,"The Urban Mission Ministries, Inc.",396,Jefferson - Urban Mission Dormitory - ES
"The Urban Mission Ministries, Inc.",296,Jefferson - Urban Mission Ministries - Hutton House - ES,310,69,"The Urban Mission Ministries, Inc.",89,Jefferson - Urban Mission Ministries - Hutton House - ES
Home is the Foundation,312,Preble - Home is the Foundation - ES,1564,70,Home is the Foundation,449,Preble - Home is the Foundation - ES
Home is the Foundation,312,Preble - Home is the Foundation - Cold Shelter - ES,1570,70,Home is the Foundation,451,Preble - Home is the Foundation - Cold Shelter - ES
Home is the Foundation,312,zzPreble - Home is the Foundation - TH,1595,70,Home is the Foundation,460,zzPreble - Home is the Foundation - TH
Home is the Foundation,312,Preble - Home is the Foundation - HCRP - RRH,2427,70,Home is the Foundation,989,Preble - Home is the Foundation - HCRP - RRH
"zzGallia Meigs Jackson - Woodland Centers, Inc.",313,zzGallia - Woodland Centers - TH,740,71,"zzGallia Meigs Jackson - Woodland Centers, Inc.",153,zzGallia - Woodland Centers - TH
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - SSVF RRH,1318,72,The Salvation Army Columbus Area Services,400,Delaware - Salvation Army Columbus Area Services - SSVF RRH
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - SSVF HP,1319,72,The Salvation Army Columbus Area Services,401,Delaware - Salvation Army Columbus Area Services - SSVF HP
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - Youth Counts - HCRP - HP,1696,72,The Salvation Army Columbus Area Services,494,Delaware - Salvation Army Columbus Area Services - Youth Counts - HCRP - HP
"The Salvation Army, A New York Corporation",330,Delaware Morrow Union Madison - Salvation Army - OHFA ERA - not homeless dedicated,2159,72,The Salvation Army Columbus Area Services,778,Delaware Morrow Union Madison - Salvation Army - OHFA ERA - not homeless dedicated
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - Region 10 Youth Targeted RRH,2181,72,The Salvation Army Columbus Area Services,800,Delaware - Salvation Army Columbus Area Services - Region 10 Youth Targeted RRH
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - ESG-CV HP,2285,72,The Salvation Army Columbus Area Services,901,Delaware - Salvation Army Columbus Area Services - ESG-CV HP
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - ESG-CV RRH,2286,72,The Salvation Army Columbus Area Services,902,Delaware - Salvation Army Columbus Area Services - ESG-CV RRH
"The Salvation Army, A New York Corporation",330,Delaware - The Salvation Army - Permanent Supportive Housing for Families - PSH,332,72,The Salvation Army Columbus Area Services,91,Delaware - The Salvation Army - Permanent Supportive Housing for Families - PSH
"The Salvation Army, A New York Corporation",330,Union - Salvation Army Columbus Area Services - Senior Assistance Program - HP,758,72,The Salvation Army Columbus Area Services,163,Union - Salvation Army Columbus Area Services - Senior Assistance Program - HP
"The Salvation Army, A New York Corporation",330,zzFairfield - The Salvation Army Lancaster - RROhio - TH,861,72,The Salvation Army Columbus Area Services,180,zzFairfield - The Salvation Army Lancaster - RROhio - TH
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - HCRP RRH,956,72,The Salvation Army Columbus Area Services,246,Delaware - Salvation Army Columbus Area Services - HCRP RRH
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - HCRP HP,957,72,The Salvation Army Columbus Area Services,247,Delaware - Salvation Army Columbus Area Services - HCRP HP
"The Salvation Army, A New York Corporation",330,Delaware - Salvation Army Columbus Area Services - Youth Counts - HCRP - RRH,959,72,The Salvation Army Columbus Area Services,249,Delaware - Salvation Army Columbus Area Services - Youth Counts - HCRP - RRH
"The Salvation Army, A New York Corporation",330,Union - Salvation Army Columbus Area Services - HCRP RRH,962,72,The Salvation Army Columbus Area Services,253,Union - Salvation Army Columbus Area Services - HCRP RRH
"The Salvation Army, A New York Corporation",330,Union - Salvation Army Columbus Area Services - HCRP HP,963,72,The Salvation Army Columbus Area Services,252,Union - Salvation Army Columbus Area Services - HCRP HP
"The Salvation Army, A New York Corporation",330,Morrow - Salvation Army Columbus Area Services - HCRP RRH,964,72,The Salvation Army Columbus Area Services,254,Morrow - Salvation Army Columbus Area Services - HCRP RRH
"The Salvation Army, A New York Corporation",330,Madison - Salvation Army Columbus Area Services - HCRP RRH,966,72,The Salvation Army Columbus Area Services,258,Madison - Salvation Army Columbus Area Services - HCRP RRH
"The Salvation Army, A New York Corporation",330,Morrow - Salvation Army Columbus Area Services - HCRP HP,967,72,The Salvation Army Columbus Area Services,256,Morrow - Salvation Army Columbus Area Services - HCRP HP
Ohio Heartland Community Action Commission,336,Marion - Ohio Heartland CAC - Youth Targeted RRH,2221,73,Ohio Heartland Community Action Commission,838,Marion - Ohio Heartland CAC - Youth Targeted RRH
Ohio Heartland Community Action Commission,336,zzMarion County - Marion Area Counseling Center - HPRP - SMF+HC - NA,584,73,Ohio Heartland Community Action Commission,128,zzMarion County - Marion Area Counseling Center - HPRP - SMF+HC - NA
Ohio Heartland Community Action Commission,336,Marion - Ohio Heartland CAC - HCRP RRH,909,73,Ohio Heartland Community Action Commission,213,Marion - Ohio Heartland CAC - HCRP RRH
Ohio Heartland Community Action Commission,336,Marion - Ohio Heartland CAC - HCRP HP,910,73,Ohio Heartland Community Action Commission,214,Marion - Ohio Heartland CAC - HCRP HP
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - HCRP RRH,1871,74,"Friends of the Homeless, Tuscarawas County",567,Tuscarawas - Friends of the Homeless - HCRP RRH
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - HCRP HP,1872,74,"Friends of the Homeless, Tuscarawas County",568,Tuscarawas - Friends of the Homeless - HCRP HP
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - Targeted RRH,2040,74,"Friends of the Homeless, Tuscarawas County",705,Tuscarawas - Friends of the Homeless - Targeted RRH
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - ESG-CV HP,2232,74,"Friends of the Homeless, Tuscarawas County",849,Tuscarawas - Friends of the Homeless - ESG-CV HP
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - ESG-CV RRH,2233,74,"Friends of the Homeless, Tuscarawas County",850,Tuscarawas - Friends of the Homeless - ESG-CV RRH
"Friends of the Homeless, Tuscarawas County",340,Tuscarawas - Friends of the Homeless - Tuscarawas County Shelter - ES,341,74,"Friends of the Homeless, Tuscarawas County",92,Tuscarawas - Friends of the Homeless - Tuscarawas County Shelter - ES
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - Targeted RRH,2199,75,"Findlay Hope House for the Homeless, Inc.",818,Hancock - Findlay Hope House for the Homeless - Targeted RRH
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - ESG-CV RRH,2217,75,"Findlay Hope House for the Homeless, Inc.",834,Hancock - Findlay Hope House for the Homeless - ESG-CV RRH
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - ESG-CV HP,2218,75,"Findlay Hope House for the Homeless, Inc.",835,Hancock - Findlay Hope House for the Homeless - ESG-CV HP
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - Transitional Housing - TH,446,75,"Findlay Hope House for the Homeless, Inc.",109,Hancock - Findlay Hope House for the Homeless - Transitional Housing - TH
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - Able Housing - PSH,778,75,"Findlay Hope House for the Homeless, Inc.",173,Hancock - Findlay Hope House for the Homeless - Able Housing - PSH
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - HCRP RRH,938,75,"Findlay Hope House for the Homeless, Inc.",232,Hancock - Findlay Hope House for the Homeless - HCRP RRH
"Findlay Hope House for the Homeless, Inc.",348,Hancock - Findlay Hope House for the Homeless - HCRP HP,939,75,"Findlay Hope House for the Homeless, Inc.",233,Hancock - Findlay Hope House for the Homeless - HCRP HP
OhioGuidestone,353,Tuscarawas - OhioGuidestone- Harbor House - ES - DV,1286,76,OhioGuidestone,389,Tuscarawas - OhioGuidestone- Harbor House - ES - DV
OhioGuidestone,353,zzCarroll - OhioGuideStone - HCRP RRH,1869,76,OhioGuidestone,566,zzCarroll - OhioGuideStone - HCRP RRH
OhioGuidestone,353,zzTuscarawas - Personal & Family Counseling - TH,354,76,OhioGuidestone,93,zzTuscarawas - Personal & Family Counseling - TH
Miami Valley Community Action Partnership,365,Greene - Miami Valley Community Action Partnership - Harding Place Transitional Housing - TH,157,77,Miami Valley Community Action Partnership,50,Greene - Miami Valley Community Action Partnership - Harding Place Transitional Housing - TH
Miami Valley Community Action Partnership,365,Greene - MVCAP - Targeted RRH,1887,77,Miami Valley Community Action Partnership,582,Greene - MVCAP - Targeted RRH
Miami Valley Community Action Partnership,365,Greene - Miami Valley Community Action Partnership - Emergency Housing - ES,221,77,Miami Valley Community Action Partnership,68,Greene - Miami Valley Community Action Partnership - Emergency Housing - ES
Miami Valley Community Action Partnership,365,Greene - Miami Valley Community Action Partnership - TH,551,77,Miami Valley Community Action Partnership,124,Greene - Miami Valley Community Action Partnership - TH
Miami Valley Community Action Partnership,365,Darke -  Miami Valley Community Action Partnership - ES,713,77,Miami Valley Community Action Partnership,136,Darke -  Miami Valley Community Action Partnership - ES
Miami Valley Community Action Partnership,365,Darke - Miami Valley Community Action - HCRP RRH,919,77,Miami Valley Community Action Partnership,221,Darke - Miami Valley Community Action - HCRP RRH
Miami Valley Community Action Partnership,365,Darke -  Miami Valley Community Action Partnership - HCRP HP,920,77,Miami Valley Community Action Partnership,222,Darke -  Miami Valley Community Action Partnership - HCRP HP
Miami Valley Community Action Partnership,365,Preble - Miami Valley Community Action Partnership - HCRP RRH,944,77,Miami Valley Community Action Partnership,235,Preble - Miami Valley Community Action Partnership - HCRP RRH
